Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-9.1e-07,-8.190499999999999e-06,-0.00284475,-6.607399999999999e-05,9.7506e-05,13813.919157743454,"03 04 2019, 21_38_31"
2.6e-07,-8.2414e-06,-0.0029062109999999997,-6.5658e-05,9.7922e-05,13815.629168748856,"03 04 2019, 21_38_33"
2.6e-07,-8.216e-06,-0.002854106,-6.559300000000001e-05,9.727200000000001e-05,13817.32894849777,"03 04 2019, 21_38_34"
-1.1690000000000002e-06,-8.1142e-06,-0.002859823,-6.5528e-05,9.7935e-05,13819.040397167208,"03 04 2019, 21_38_36"
-9.1e-07,-8.216e-06,-0.002822271,-6.547600000000001e-05,9.7181e-05,13820.750635623934,"03 04 2019, 21_38_38"
3.9e-07,-8.165099999999999e-06,-0.00286723,-6.5424e-05,9.7909e-05,13822.460409641268,"03 04 2019, 21_38_39"
-1.1690000000000002e-06,-8.0379e-06,-0.0028629420000000003,-6.5489e-05,9.7844e-05,13824.178971767427,"03 04 2019, 21_38_41"
-5.2e-07,-8.2414e-06,-0.002864761,-6.5632e-05,9.7181e-05,13825.882953643799,"03 04 2019, 21_38_43"
-1.299e-06,-8.165099999999999e-06,-0.0028505970000000003,-6.5632e-05,9.7766e-05,13827.598526000977,"03 04 2019, 21_38_45"
-2.6e-07,-8.063300000000001e-06,-0.0029162159999999997,-6.6048e-05,9.7506e-05,13829.303351640701,"03 04 2019, 21_38_46"
-1.1690000000000002e-06,-8.3177e-06,-0.002898415,-6.5645e-05,9.7623e-05,13831.023077011108,"03 04 2019, 21_38_48"
-5.2e-07,-8.3686e-06,-0.0029041320000000002,-6.5918e-05,9.7974e-05,13832.725302219389,"03 04 2019, 21_38_50"
-1.3e-07,-8.394e-06,-0.002888929,-6.5307e-05,9.742799999999999e-05,13834.445548057556,"03 04 2019, 21_38_51"
1.3e-07,-8.4449e-06,-0.00290842,-6.5307e-05,9.7246e-05,13836.144381523132,"03 04 2019, 21_38_53"
-6.5e-07,-8.3177e-06,-0.002882562,-6.585300000000001e-05,9.719399999999999e-05,13837.864389181135,"03 04 2019, 21_38_55"
-6.5e-07,-8.1142e-06,-0.002860863,-6.547600000000001e-05,9.6999e-05,13839.569082021711,"03 04 2019, 21_38_57"
-5.2e-07,-8.419400000000001e-06,-0.002883732,-6.5437e-05,9.727200000000001e-05,13841.272660255432,"03 04 2019, 21_38_58"
2.6e-07,-8.419400000000001e-06,-0.002861902,-6.5541e-05,9.7974e-05,13842.986054420471,"03 04 2019, 21_39_00"
-3.9e-07,-8.495800000000001e-06,-0.0028960759999999996,-6.5502e-05,9.7753e-05,13844.699007034302,"03 04 2019, 21_39_02"
-3.9e-07,-8.2668e-06,-0.0029136179999999998,-6.582699999999999e-05,9.7051e-05,13846.409026384354,"03 04 2019, 21_39_03"
-6.5e-07,-8.419400000000001e-06,-0.002919855,-6.5411e-05,9.729799999999999e-05,13848.118793010713,"03 04 2019, 21_39_05"
-9.1e-07,-8.1142e-06,-0.00288646,-6.545e-05,9.7389e-05,13849.828809976578,"03 04 2019, 21_39_07"
-9.1e-07,-8.165099999999999e-06,-0.00293077,-6.5502e-05,9.7792e-05,13851.5391061306,"03 04 2019, 21_39_08"
-1.1690000000000002e-06,-8.3431e-06,-0.002876325,-6.5918e-05,9.7675e-05,13853.249056577682,"03 04 2019, 21_39_10"
-1.04e-06,-8.1142e-06,-0.002901533,-6.5528e-05,9.7831e-05,13854.959023714066,"03 04 2019, 21_39_12"
-1.3e-07,-8.4449e-06,-0.002886331,-6.5138e-05,9.8182e-05,13856.671795845032,"03 04 2019, 21_39_14"
-2.6e-07,-8.190499999999999e-06,-0.002893347,-6.568399999999999e-05,9.822100000000001e-05,13858.38179397583,"03 04 2019, 21_39_15"
-5.2e-07,-8.2414e-06,-0.00293038,-6.61e-05,9.7649e-05,13860.089306116104,"03 04 2019, 21_39_17"
-9.1e-07,-8.2414e-06,-0.002922713,-6.5697e-05,9.7623e-05,13861.797723054886,"03 04 2019, 21_39_19"
-1.04e-06,-8.1142e-06,-0.00284488,-6.5281e-05,9.6791e-05,13863.517765045166,"03 04 2019, 21_39_20"
-6.5e-07,-8.5466e-06,-0.002905042,-6.5749e-05,9.7701e-05,13865.227810382845,"03 04 2019, 21_39_22"
-1.1690000000000002e-06,-8.2414e-06,-0.002830067,-6.559300000000001e-05,9.7376e-05,13866.931340456009,"03 04 2019, 21_39_24"
-2.6e-07,-8.190499999999999e-06,-0.00286606,-6.5645e-05,9.7363e-05,13868.64155960083,"03 04 2019, 21_39_26"
-3.9e-07,-8.2414e-06,-0.002863591,-6.584e-05,9.690799999999999e-05,13870.351587295532,"03 04 2019, 21_39_27"
-1.04e-06,-8.190499999999999e-06,-0.0028949059999999996,-6.585300000000001e-05,9.7389e-05,13872.061573266985,"03 04 2019, 21_39_29"
-6.5e-07,-8.495800000000001e-06,-0.0028898390000000004,-6.5398e-05,9.714200000000001e-05,13873.769547700882,"03 04 2019, 21_39_31"
-1.1690000000000002e-06,-8.1396e-06,-0.002849038,-6.5671e-05,9.768799999999999e-05,13875.479697704317,"03 04 2019, 21_39_32"
1.3e-07,-8.2668e-06,-0.002892827,-6.547600000000001e-05,9.7051e-05,13877.194072246553,"03 04 2019, 21_39_34"
-1.1690000000000002e-06,-8.3431e-06,-0.002883342,-6.5801e-05,9.6311e-05,13878.91012763977,"03 04 2019, 21_39_36"
-7.8e-07,-8.1396e-06,-0.002848648,-6.5398e-05,9.646600000000001e-05,13880.61391544342,"03 04 2019, 21_39_38"
0.0,-8.216e-06,-0.002870738,-6.558e-05,9.696e-05,13882.32921218872,"03 04 2019, 21_39_39"
-6.5e-07,-8.2923e-06,-0.0028735970000000003,-6.573600000000001e-05,9.622e-05,13884.039260387419,"03 04 2019, 21_39_41"
-1.559e-06,-8.2923e-06,-0.002813825,-6.558e-05,9.6414e-05,13885.749028205872,"03 04 2019, 21_39_43"
-6.5e-07,-8.3177e-06,-0.0028854209999999996,-6.5489e-05,9.6999e-05,13887.46210193634,"03 04 2019, 21_39_44"
-3.9e-07,-8.0125e-06,-0.002837863,-6.5762e-05,9.6791e-05,13889.172177553177,"03 04 2019, 21_39_46"
-3.9e-07,-8.0888e-06,-0.0028525459999999996,-6.571e-05,9.7246e-05,13890.882184267044,"03 04 2019, 21_39_48"
-9.1e-07,-8.2414e-06,-0.002855925,-6.572300000000001e-05,9.722e-05,13892.59198498726,"03 04 2019, 21_39_50"
-7.8e-07,-8.1396e-06,-0.002859693,-6.5268e-05,9.6921e-05,13894.302033185959,"03 04 2019, 21_39_51"
-3.9e-07,-8.0888e-06,-0.002826429,-6.5567e-05,9.6505e-05,13896.014053106308,"03 04 2019, 21_39_53"
-7.8e-07,-8.2414e-06,-0.0028320159999999997,-6.571e-05,9.675200000000001e-05,13897.734056949617,"03 04 2019, 21_39_55"
-5.2e-07,-8.2923e-06,-0.00278069,-6.5359e-05,9.711600000000001e-05,13899.440512657166,"03 04 2019, 21_39_56"
-1.429e-06,-7.8344e-06,-0.0028101859999999997,-6.5411e-05,9.6973e-05,13901.146077871323,"03 04 2019, 21_39_58"
1.3e-07,-8.165099999999999e-06,-0.002795373,-6.5658e-05,9.683e-05,13902.866284132004,"03 04 2019, 21_40_00"
-2.6e-07,-8.2414e-06,-0.002771205,-6.572300000000001e-05,9.644e-05,13904.569836616516,"03 04 2019, 21_40_02"
-3.9e-07,-8.0379e-06,-0.0027159809999999997,-6.597e-05,9.6921e-05,13906.290132522583,"03 04 2019, 21_40_03"
2.6e-07,-8.0125e-06,-0.002791215,-6.5437e-05,9.6843e-05,13907.991271972656,"03 04 2019, 21_40_05"
-6.5e-07,-7.8853e-06,-0.002839553,-6.568399999999999e-05,9.677799999999999e-05,13909.712557554243,"03 04 2019, 21_40_07"
-7.8e-07,-7.9616e-06,-0.002804729,-6.599600000000001e-05,9.675200000000001e-05,13911.422562360764,"03 04 2019, 21_40_08"
-5.2e-07,-7.8598e-06,-0.0028075879999999998,-6.5359e-05,9.748e-05,13913.124214410782,"03 04 2019, 21_40_10"
-6.5e-07,-8.063300000000001e-06,-0.002777052,-6.559300000000001e-05,9.633600000000001e-05,13914.8413875103,"03 04 2019, 21_40_12"
-6.5e-07,-7.8598e-06,-0.002803949,-6.595699999999999e-05,9.6285e-05,13916.555095911026,"03 04 2019, 21_40_13"
-3.9e-07,-7.9362e-06,-0.0027688659999999996,-6.582699999999999e-05,9.6609e-05,13918.261542797087,"03 04 2019, 21_40_15"
-6.5e-07,-8.0379e-06,-0.002746776,-6.558e-05,9.596e-05,13919.981662988665,"03 04 2019, 21_40_17"
-3.9e-07,-7.8598e-06,-0.002764188,-6.581399999999999e-05,9.5401e-05,13921.68186569214,"03 04 2019, 21_40_19"
-9.1e-07,-7.783500000000001e-06,-0.002807458,-6.598300000000001e-05,9.629799999999999e-05,13923.397358894348,"03 04 2019, 21_40_20"
-2.6e-07,-8.063300000000001e-06,-0.002834485,-6.5437e-05,9.6259e-05,13925.107198953629,"03 04 2019, 21_40_22"
-7.8e-07,-8.063300000000001e-06,-0.0027371609999999997,-6.582699999999999e-05,9.6674e-05,13926.82334446907,"03 04 2019, 21_40_24"
-3.9e-07,-8.0379e-06,-0.002774064,-6.582699999999999e-05,9.629799999999999e-05,13928.523446559904,"03 04 2019, 21_40_25"
1.3e-07,-7.9616e-06,-0.00275951,-6.559300000000001e-05,9.594700000000001e-05,13930.240229606628,"03 04 2019, 21_40_27"
-1.1690000000000002e-06,-7.8598e-06,-0.0027895259999999996,-6.5515e-05,9.6349e-05,13931.94734930992,"03 04 2019, 21_40_29"
-1.04e-06,-7.987e-06,-0.002804079,-6.5411e-05,9.6427e-05,13933.66052556038,"03 04 2019, 21_40_31"
-1.3e-07,-7.9107e-06,-0.002777702,-6.5892e-05,9.629799999999999e-05,13935.370524168015,"03 04 2019, 21_40_32"
-6.5e-07,-8.0379e-06,-0.00282474,-6.599600000000001e-05,9.6103e-05,13937.080429315569,"03 04 2019, 21_40_34"
-3.9e-07,-7.9362e-06,-0.002747426,-6.5619e-05,9.6401e-05,13938.790328979492,"03 04 2019, 21_40_36"
-5.2e-07,-7.9107e-06,-0.002769776,-6.5541e-05,9.6557e-05,13940.500547885897,"03 04 2019, 21_40_37"
-9.1e-07,-8.3177e-06,-0.0027944640000000004,-6.5554e-05,9.6635e-05,13942.211035728456,"03 04 2019, 21_40_39"
-5.2e-07,-7.8598e-06,-0.002784069,-6.5554e-05,9.696e-05,13943.921105384828,"03 04 2019, 21_40_41"
