Time,Current,TEG2,TEG1,Supply_voltage,Cell_voltage
202265.300699234,-8.9336e-06,-1.6596e-05,8.168e-05,-0.003095495,-0.00307714
202267.06073474884,-8.8838e-06,-1.6711e-05,8.1093e-05,-0.00312035,-0.003105947
202268.83077001572,-8.9834e-06,-1.694e-05,8.1374e-05,-0.003046421,-0.003106329
202270.600805521,-8.834e-06,-1.6838e-05,8.0953e-05,-0.003042469,-0.003091671
202272.37084126472,-8.9087e-06,-1.68e-05,8.1667e-05,-0.003088229,-0.003086062
202274.14087677002,-8.9336e-06,-1.7348e-05,8.2508e-05,-0.003122135,-0.003094347
202275.9109122753,-8.8589e-06,-1.6966e-05,8.2725e-05,-0.003114105,-0.003068345
202277.6809475422,-8.7843e-06,-1.694e-05,8.3745e-05,-0.003035968,-0.003058657
202279.45098376274,-8.9087e-06,-1.731e-05,8.4063e-05,-0.003022967,-0.003034056
202281.23351955414,-8.9585e-06,-1.7004e-05,8.4446e-05,-0.003074463,-0.003118948
202283.00255823135,-8.8838e-06,-1.6672e-05,8.5287e-05,-0.003047313,-0.003109006
202284.7725932598,-9.0082e-06,-1.6277e-05,8.5555e-05,-0.003093455,-0.003081346
202286.5526292324,-8.8838e-06,-1.6507e-05,8.623e-05,-0.003119968,-0.003075992
202288.3226647377,-8.9834e-06,-1.6341e-05,8.6727e-05,-0.003088229,-0.003067325
202290.092700243,-8.8838e-06,-1.6443e-05,8.7122e-05,-0.003103015,-0.003106457
202291.86223578453,-9.058e-06,-1.643e-05,8.7403e-05,-0.003106584,-0.003084915
202293.63227128983,-9.0082e-06,-1.694e-05,8.7428e-05,-0.003069874,-0.003116909
202295.40230703354,-9.0082e-06,-1.7055e-05,8.7849e-05,-0.003081091,-0.003142147
202297.1823425293,-8.7843e-06,-1.7195e-05,8.7862e-05,-0.003046548,-0.003054068
202298.9523780346,-8.9087e-06,-1.7679e-05,8.7441e-05,-0.003069109,-0.003095112
202300.7224135399,-8.834e-06,-1.7896e-05,8.711e-05,-0.003108624,-0.003115762
202302.50244927406,-8.9087e-06,-1.8164e-05,8.66e-05,-0.003116144,-0.003139598
202304.27248501778,-9.1078e-06,-1.8584e-05,8.5746e-05,-0.003125449,-0.003077904
202306.043520689,-8.9336e-06,-1.8878e-05,8.4764e-05,-0.00309575,-0.003100466
202307.8135561943,-9.058e-06,-1.9082e-05,8.4101e-05,-0.00309269,-0.003059167
202309.59359240532,-9.1327e-06,-1.9426e-05,8.3146e-05,-0.003125959,-0.003136411
202311.35362792015,-8.8589e-06,-1.9846e-05,8.2088e-05,-0.003077012,-0.003105437
202313.12466335297,-8.8838e-06,-1.9974e-05,8.1909e-05,-0.003144059,-0.003078924
202314.89469885826,-8.9834e-06,-2.0624e-05,8.1093e-05,-0.003152981,-0.003106202
202316.66473460197,-8.9585e-06,-2.0624e-05,8.0532e-05,-0.003109771,-0.003060187
202318.43476986885,-9.0082e-06,-2.0994e-05,8.0035e-05,-0.003098426,-0.003132587
202320.20480561256,-8.9585e-06,-2.144e-05,7.9424e-05,-0.003139725,-0.003128381
202321.97484135628,-8.9585e-06,-2.1886e-05,7.8837e-05,-0.003092435,-0.003073188
202323.7458770275,-8.9585e-06,-2.2472e-05,7.8875e-05,-0.003069747,-0.003048205
202325.51341223717,-9.058e-06,-2.251e-05,7.9742e-05,-0.003062609,-0.003096897
202327.28344774246,-9.1824e-06,-2.2956e-05,7.9551e-05,-0.003117291,-0.003123664
202329.0544834137,-8.9585e-06,-2.3607e-05,7.9653e-05,-0.003101613,-0.003123792
202330.81701874733,-9.058e-06,-2.3454e-05,8.0137e-05,-0.003092945,-0.003043744
202332.5945544243,-9.2322e-06,-2.3912e-05,8.0125e-05,-0.00316713,-0.003130293
202334.36458992958,-8.8838e-06,-2.3785e-05,7.9933e-05,-0.003101485,-0.003073698
202336.1246254444,-8.9336e-06,-2.4371e-05,7.9882e-05,-0.00308313,-0.003112957
202337.8946607113,-8.9336e-06,-2.4945e-05,7.9729e-05,-0.003120095,-0.003094985
202339.66469669342,-9.0331e-06,-2.557e-05,7.8799e-05,-0.00309422,-0.003136283
202341.43473243713,-9.1078e-06,-2.571e-05,7.8812e-05,-0.003154638,-0.003099446
202343.2027709484,-9.1078e-06,-2.7086e-05,7.8378e-05,-0.003114869,-0.00312086
