Time,Current,TEG2,TEG1,Supply_voltage,Cell_voltage
1.814538717,-8.56E-06,-4.15E-05,6.51E-05,-0.002960127,-0.002932849
3.663076162,-8.64E-06,-4.18E-05,6.52E-05,-0.002973256,-0.002961146
5.433116674,-8.49E-06,-4.30E-05,6.48E-05,-0.002950184,-0.002978227
7.203153372,-8.39E-06,-4.31E-05,6.48E-05,-0.002926603,-0.002906719
8.981689215,-8.44E-06,-4.38E-05,6.50E-05,-0.002889766,-0.002930682
10.7492249,-8.49E-06,-4.41E-05,6.49E-05,-0.002871538,-0.002849869
12.51884627,-8.41E-06,-4.46E-05,6.56E-05,-0.002858919,-0.002927623
14.28388214,-8.39E-06,-4.49E-05,6.55E-05,-0.002909013,-0.002906591
16.06591797,-8.49E-06,-4.56E-05,6.56E-05,-0.00291169,-0.002929153
17.84095383,-8.49E-06,-4.62E-05,6.52E-05,-0.002919465,-0.002886962
19.60848927,-8.29E-06,-4.59E-05,6.58E-05,-0.002899198,-0.002905826
21.38852501,-8.31E-06,-4.59E-05,6.61E-05,-0.002855223,-0.002906336
23.1685605,-8.26E-06,-4.62E-05,6.65E-05,-0.002904424,-0.002884667
24.94168186,-8.39E-06,-4.67E-05,6.64E-05,-0.002849614,-0.002899071
26.7142179,-8.54E-06,-4.68E-05,6.71E-05,-0.002881353,-0.002854586
28.49425411,-8.29E-06,-4.66E-05,6.72E-05,-0.002859047,-0.00287396
30.25678921,-8.49E-06,-4.68E-05,6.79E-05,-0.002901748,-0.002896522
32.02682471,-8.39E-06,-4.71E-05,6.82E-05,-0.002888874,-0.002854203
33.77836657,-8.16E-06,-4.66E-05,6.89E-05,-0.002865548,-0.002923672
35.58248162,-8.41E-06,-4.56E-05,6.92E-05,-0.002895374,-0.0028463
37.35751772,-8.31E-06,-4.47E-05,6.96E-05,-0.002938967,-0.002919975
39.13261461,-8.54E-06,-4.41E-05,7.03E-05,-0.002915259,-0.002918063
40.90523863,-8.54E-06,-4.35E-05,7.00E-05,-0.002941389,-0.002915896
42.67786336,-8.44E-06,-4.28E-05,7.06E-05,-0.002928133,-0.002908503
44.42849994,-8.36E-06,-4.22E-05,7.03E-05,-0.002920612,-0.002954518
46.20514202,-8.26E-06,-4.15E-05,7.02E-05,-0.002897414,-0.002865038
47.97426605,-8.41E-06,-4.08E-05,7.03E-05,-0.002948782,-0.002905699
49.75439119,-8.49E-06,-4.04E-05,7.03E-05,-0.002910925,-0.002878039
51.52701569,-8.26E-06,-4.04E-05,7.11E-05,-0.002888236,-0.002861724
53.30714035,-8.29E-06,-3.99E-05,7.13E-05,-0.002866057,-0.002917936
55.07726431,-8.41E-06,-3.99E-05,7.20E-05,-0.002887089,-0.002948272
56.8404057,-8.34E-06,-4.03E-05,7.26E-05,-0.002951077,-0.002998621
58.62904477,-8.51E-06,-4.04E-05,7.31E-05,-0.002935398,-0.002951841
60.4316709,-8.59E-06,-4.06E-05,7.38E-05,-0.002995434,-0.002960764
62.20179462,-8.56E-06,-4.02E-05,7.35E-05,-0.002951586,-0.002969177
63.99192023,-8.59E-06,-4.06E-05,7.37E-05,-0.003006779,-0.002988041
65.7610445,-8.64E-06,-4.03E-05,7.36E-05,-0.00297606,-0.002940752
67.5146966,-8.44E-06,-4.05E-05,7.35E-05,-0.002975932,-0.002996964
69.29832435,-8.59E-06,-4.06E-05,7.31E-05,-0.003001808,-0.00298409
71.06844854,-8.46E-06,-4.09E-05,7.27E-05,-0.00297402,-0.002960254
72.83607268,-8.36E-06,-4.10E-05,7.20E-05,-0.002956813,-0.002936673
74.60369682,-8.56E-06,-4.15E-05,7.20E-05,-0.002948145,-0.002942536
76.37632132,-8.76E-06,-4.16E-05,7.20E-05,-0.002925329,-0.002929408
78.13245177,-8.41E-06,-4.19E-05,7.22E-05,-0.002913729,-0.00292877
79.91260123,-8.56E-06,-4.23E-05,7.29E-05,-0.00293986,-0.002949292
81.69522595,-8.54E-06,-4.21E-05,7.41E-05,-0.002946998,-0.002966372
83.49535227,-8.61E-06,-4.22E-05,7.46E-05,-0.002962803,-0.002903915
85.26047587,-8.68E-06,-4.21E-05,7.46E-05,-0.002946105,-0.002957832
