Time,TEG1,TEG2,Current,Supply_voltage,Cell_voltage,Time_stamp
1.845184564590454,-7.0856e-05,8.3382e-05,0.0,1.3e-07,9.1e-07,"03 04 2019, 14_52_42"
3.5553555488586426,-7.0115e-05,8.3031e-05,-1.017e-07,1.3e-07,7.8e-07,"03 04 2019, 14_52_44"
5.265526533126831,-7.0427e-05,8.3148e-05,7.63e-08,0.0,3.9e-07,"03 04 2019, 14_52_46"
6.978697776794434,-7.0856e-05,8.3096e-05,2.54e-08,2.6e-07,5.2e-07,"03 04 2019, 14_52_48"
8.690869092941284,-7.0414e-05,8.3083e-05,-1.526e-07,7.8e-07,6.5e-07,"03 04 2019, 14_52_49"
10.398039817810059,-7.0869e-05,8.2797e-05,-1.526e-07,2.6e-07,-1.3e-07,"03 04 2019, 14_52_51"
12.11021089553833,-7.0713e-05,8.2979e-05,-1.017e-07,6.5e-07,1.04e-06,"03 04 2019, 14_52_53"
13.817381620407104,-7.0778e-05,8.2667e-05,-2.54e-08,0.0,-1.3e-07,"03 04 2019, 14_52_54"
15.526552677154541,-7.0219e-05,8.3161e-05,-5.09e-08,-1.3e-07,1.3e-07,"03 04 2019, 14_52_56"
17.241724252700806,-7.0466e-05,8.2992e-05,-2.54e-08,9.1e-07,-3.9e-07,"03 04 2019, 14_52_58"
18.953895092010498,-7.0518e-05,8.2693e-05,0.0,6.5e-07,9.1e-07,"03 04 2019, 14_52_59"
20.663066148757935,-7.0414e-05,8.3018e-05,2.54e-08,-3.9e-07,2.6e-07,"03 04 2019, 14_53_01"
22.376237392425537,-7.1024e-05,8.2849e-05,-1.526e-07,2.6e-07,3.9e-07,"03 04 2019, 14_53_03"
24.08940887451172,-7.0882e-05,8.3278e-05,0.0,-1.3e-07,-2.6e-07,"03 04 2019, 14_53_05"
25.822582006454468,-7.0427e-05,8.3291e-05,2.54e-08,-5.2e-07,3.9e-07,"03 04 2019, 14_53_06"
27.529752731323242,-7.0687e-05,8.3005e-05,-2.289e-07,-5.2e-07,-1.3e-07,"03 04 2019, 14_53_08"
29.242923974990845,-7.0492e-05,8.3031e-05,-2.54e-08,0.0,1.3e-07,"03 04 2019, 14_53_10"
30.95209503173828,-7.0791e-05,8.2875e-05,-7.63e-08,1.04e-06,1.3e-07,"03 04 2019, 14_53_11"
32.673266887664795,-7.0336e-05,8.3161e-05,5.09e-08,0.0,0.0,"03 04 2019, 14_53_13"
34.38643836975098,-7.1193e-05,8.3031e-05,2.54e-08,-5.2e-07,0.0,"03 04 2019, 14_53_15"
36.09960961341858,-7.0505e-05,8.3044e-05,0.0,5.2e-07,6.5e-07,"03 04 2019, 14_53_17"
37.807780265808105,-7.0622e-05,8.294e-05,-1.017e-07,7.8e-07,0.0,"03 04 2019, 14_53_18"
39.52495217323303,-7.083e-05,8.3304e-05,-1.526e-07,0.0,0.0,"03 04 2019, 14_53_20"
41.23912334442139,-7.0401e-05,8.294e-05,5.09e-08,2.6e-07,0.0,"03 04 2019, 14_53_22"
42.94729447364807,-7.0882e-05,8.333e-05,1.017e-07,9.1e-07,2.6e-07,"03 04 2019, 14_53_23"
44.65846562385559,-7.1089e-05,8.2797e-05,-1.526e-07,3.9e-07,-5.2e-07,"03 04 2019, 14_53_25"
46.37063646316528,-7.0882e-05,8.3122e-05,2.54e-08,2.6e-07,2.6e-07,"03 04 2019, 14_53_27"
48.083807945251465,-7.0505e-05,8.281e-05,-7.63e-08,3.9e-07,-3.9e-07,"03 04 2019, 14_53_29"
49.79697918891907,-7.0778e-05,8.2511e-05,0.0,-2.6e-07,-2.6e-07,"03 04 2019, 14_53_30"
51.50815033912659,-7.0933e-05,8.3057e-05,2.035e-07,-3.9e-07,6.5e-07,"03 04 2019, 14_53_32"
53.217321157455444,-7.1024e-05,8.2745e-05,-5.09e-08,2.6e-07,-3.9e-07,"03 04 2019, 14_53_34"
54.93149256706238,-7.057e-05,8.281e-05,-5.09e-08,0.0,-1.3e-07,"03 04 2019, 14_53_35"
56.6426637172699,-7.0388e-05,8.2706e-05,-1.017e-07,1.3e-07,1.04e-06,"03 04 2019, 14_53_37"
58.35383486747742,-7.1193e-05,8.2992e-05,5.09e-08,7.8e-07,2.6e-07,"03 04 2019, 14_53_39"
60.063005685806274,-7.0933e-05,8.2836e-05,-7.63e-08,1.3e-07,-3.9e-07,"03 04 2019, 14_53_41"
61.7711763381958,-7.083e-05,8.2641e-05,-2.54e-08,5.2e-07,-2.6e-07,"03 04 2019, 14_53_42"
63.47734713554382,-7.0946e-05,8.294e-05,2.54e-08,1.3e-07,2.6e-07,"03 04 2019, 14_53_44"
65.19051861763,-7.0946e-05,8.2173e-05,-1.017e-07,3.9e-07,3.9e-07,"03 04 2019, 14_53_46"
66.8976891040802,-7.1505e-05,8.2875e-05,-1.017e-07,5.2e-07,6.5e-07,"03 04 2019, 14_53_47"
68.60986042022705,-7.105e-05,8.2654e-05,-1.017e-07,0.0,1.3e-07,"03 04 2019, 14_53_49"
70.32003116607666,-7.0739e-05,8.294e-05,-7.63e-08,6.5e-07,-1.3e-07,"03 04 2019, 14_53_51"
72.0342025756836,-7.0726e-05,8.3148e-05,-2.54e-08,1.3e-07,3.9e-07,"03 04 2019, 14_53_53"
73.74737405776978,-7.092e-05,8.2654e-05,-1.526e-07,-3.9e-07,1.3e-07,"03 04 2019, 14_53_54"
75.4585452079773,-7.0505e-05,8.2446e-05,1.017e-07,-2.6e-07,0.0,"03 04 2019, 14_53_56"
77.16671586036682,-7.0856e-05,8.2797e-05,1.272e-07,5.2e-07,0.0,"03 04 2019, 14_53_58"
78.87388682365417,-7.0856e-05,8.2459e-05,-2.289e-07,5.2e-07,3.9e-07,"03 04 2019, 14_53_59"
80.58405756950378,-7.0648e-05,8.3278e-05,-2.035e-07,-2.6e-07,-2.6e-07,"03 04 2019, 14_54_01"
