Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
2.55e-07,1.244e-07,1.27e-07,-0.11249314,-0.11561151,1.9801554679870605
0.0,9.95e-08,3.82e-07,-0.11178778,-0.11498329,3.819932460784912
-1.147e-06,1.493e-07,-8.92e-07,-0.11110972,-0.11436615,5.5899574756622314
-2.55e-07,2.49e-08,-1.27e-07,-0.11042101,-0.11374569,7.360213279724121
-3.82e-07,1.991e-07,3.82e-07,-0.10971926,-0.11311596,9.130006551742554
-5.1e-07,4.98e-08,7.65e-07,-0.10900994,-0.11247356,10.910037755966187
0.0,1.244e-07,-3.82e-07,-0.10829484,-0.11182106,12.689871311187744
0.0,1.991e-07,-1.27e-07,-0.10756891,-0.11116221,14.469856977462769
-3.82e-07,1.244e-07,0.0,-0.10683822,-0.11049828,16.241273880004883
-3.82e-07,-4.98e-08,1.27e-07,-0.10610629,-0.10981745,18.03126072883606
-3.82e-07,1.493e-07,2.55e-07,-0.10537103,-0.10913738,19.80124855041504
-1.27e-07,9.95e-08,-1.27e-07,-0.1046417,-0.10845438,21.581270456314087
1.27e-07,1.493e-07,2.55e-07,-0.10391053,-0.10776413,23.363699436187744
-2.55e-07,1.244e-07,-2.55e-07,-0.10318076,-0.10706583,25.143913984298706
0.0,2.49e-08,-2.55e-07,-0.10245365,-0.1063649,26.913938999176025
3.82e-07,2.49e-08,-8.92e-07,-0.10172762,-0.10566749,28.691491842269897
-1.27e-07,2.49e-08,-8.92e-07,-0.10099835,-0.10497242,30.481572151184082
-3.82e-07,9.95e-08,-7.65e-07,-0.10026525,-0.10427335,32.261475801467896
1.27e-07,1.493e-07,-1.27e-07,-0.09953739,-0.10357608,34.02170515060425
0.0,7.47e-08,0.0,-0.098811795,-0.10287146,35.80145263671875
0.0,1.742e-07,-3.82e-07,-0.09808413,-0.10216632,37.60143041610718
3.82e-07,1.991e-07,-1.27e-07,-0.097351583,-0.10145404,39.37166738510132
2.55e-07,4.98e-08,3.82e-07,-0.096637192,-0.10076074,41.14164590835571
5.1e-07,-2.49e-08,-7.65e-07,-0.095924466,-0.10006238,42.911670446395874
2.294e-06,2.49e-08,7.65e-07,-0.095206144,-0.099365287,44.68161749839783
-9.56e-06,1.493e-07,-6.37e-07,-0.094496724,-0.098672973,46.461907386779785
