Time,Current,TEG2,TEG1,Supply_voltage,Cell_voltage
8651.316704273224,0.0004734058,-2.5085e-05,7.5753e-05,0.16401028,0.16398604
8652.94923734665,0.0004732814,-2.4448e-05,7.5778e-05,0.16399497,0.16400263
8654.579270124435,0.0004733809,-2.3645e-05,7.6326e-05,0.16396053,0.16397456
8656.204302549362,0.0004732814,-2.2956e-05,7.6122e-05,0.16399752,0.16397329
8657.844335317612,0.0004731072,-2.3033e-05,7.6709e-05,0.16392481,0.16393247
8659.476868152618,0.0004732068,-2.2816e-05,7.653e-05,0.16393247,0.1639516
8661.106900930405,0.0004735551,-2.209e-05,7.6262e-05,0.16396181,0.16395415
8662.7344353199,0.0004733312,-2.1962e-05,7.6199e-05,0.16394267,0.16396946
8664.359467983246,0.0004732565,-2.1746e-05,7.6224e-05,0.1639567,0.16394777
8665.984001398087,0.0004734556,-2.1707e-05,7.6211e-05,0.16394905,0.1639567
8667.609033823013,0.0004732814,-2.2115e-05,7.6173e-05,0.16396436,0.1639516
8669.234066724777,0.0004732068,-2.1695e-05,7.5982e-05,0.16397201,0.1639465
8670.849098920822,0.0004733809,-2.2255e-05,7.6696e-05,0.16392991,0.16393757
8672.509132385254,0.0004733809,-2.2115e-05,7.6709e-05,0.16392736,0.16397201
8674.129164934158,0.0004733312,-2.2e-05,7.6759e-05,0.16398349,0.16396053
8675.759197711945,0.0004733809,-2.1784e-05,7.7486e-05,0.16396946,0.1639567
8677.38673043251,0.0004732565,-2.1261e-05,7.8697e-05,0.16391843,0.16392736
8679.029263496399,0.0004733312,-2.1185e-05,7.913e-05,0.16395798,0.16394522
8680.659296512604,0.0004732565,-2.0535e-05,7.9691e-05,0.16388909,0.16393374
8682.309329271317,0.0004731819,-1.9936e-05,7.9831e-05,0.16391333,0.16392991
8683.939362287521,0.0004731819,-1.954e-05,8.0278e-05,0.16392736,0.16388782
8685.569394826889,0.0004733809,-1.94e-05,8.1272e-05,0.16390568,0.16392481
8687.20142865181,0.0004732565,-1.9018e-05,8.1386e-05,0.16392736,0.16395415
8688.836461544037,0.0004732316,-1.8814e-05,8.1221e-05,0.16393247,0.16397456
8690.468994140625,0.0004732068,-1.8393e-05,8.1692e-05,0.16396436,0.16390057
8692.09403014183,0.000473157,-1.8062e-05,8.1208e-05,0.16392736,0.16391843
8693.719063043594,0.0004732814,-1.7858e-05,8.1297e-05,0.16393374,0.16394395
8695.34909582138,0.0004732316,-1.796e-05,8.0558e-05,0.16395288,0.16392354
8696.969128370285,0.0004732565,-1.782e-05,7.9908e-05,0.16398859,0.16392736
8698.610161304474,0.0004734307,-1.7463e-05,7.9373e-05,0.16395798,0.16394012
8700.220193386078,0.0004734058,-1.7221e-05,7.8837e-05,0.16397966,0.16395798
8701.862726688385,0.0004734307,-1.8151e-05,7.8047e-05,0.16396818,0.16397456
8703.48675942421,0.0004732814,-1.7794e-05,7.8213e-05,0.16392226,0.1639044
8705.114292144775,0.0004734058,-1.7565e-05,7.7499e-05,0.16395032,0.16397839
8706.73932480812,0.0004733561,-1.8189e-05,7.732e-05,0.16391333,0.16391588
8708.369357585907,0.0004732565,-1.8291e-05,7.69e-05,0.16397456,0.16394777
8710.009390592575,0.0004733063,-1.8036e-05,7.6683e-05,0.16391078,0.16389037
8711.63692331314,0.0004733063,-1.8903e-05,7.6543e-05,0.16391333,0.16397329
8713.269456148148,0.0004730823,-1.8878e-05,7.6033e-05,0.16395798,0.16395925
8715.339497566223,0.0004733063,-1.9515e-05,7.5982e-05,0.16397711,0.16396563
8716.97203040123,0.0004731819,-1.9821e-05,7.5625e-05,0.16396946,0.16395288
8718.597063064575,0.0004733063,-2.0165e-05,7.5128e-05,0.16391716,0.16396691
8720.232095956802,0.0004732565,-2.0305e-05,7.4707e-05,0.16393374,0.16395925
