Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
1.0283924,0.0029852704,1.0283666,-0.001480834,0.001994272,24758.29607963562
1.0283537,0.0029852704,1.0284441,-0.001480562,0.0019937,24759.73670744896
1.0284054,0.0029854739,1.0284312,-0.001479626,0.001993297,24761.198622703552
1.0284441,0.002985245,1.0283795,-0.001479431,0.001992752,24762.6592066288
1.0283408,0.0029852959,1.0284054,-0.001478911,0.001992297,24764.13606405258
1.0283537,0.0029853722,1.0283537,-0.001478768,0.001992076,24765.59697818756
1.0284054,0.0029853467,1.0283666,-0.001478781,0.001990855,24767.039325475693
1.0283795,0.0029852195,1.028315,-0.001477976,0.001990465,24768.49622774124
1.0283924,0.0029855757,1.0283924,-0.001478093,0.001989971,24769.94073653221
1.0283537,0.0029854739,1.0283666,-0.001477508,0.001989035,24771.397638082504
1.0283666,0.0029853467,1.0283279,-0.001477547,0.001987775,24772.865567922592
1.0283021,0.002985245,1.028315,-0.001477118,0.001987814,24774.312794923782
1.0283537,0.0029852959,1.0283795,-0.001477079,0.001987021,24775.762677669525
1.0283279,0.0029851178,1.0283279,-0.001476728,0.001985553,24777.214782238007
1.0284054,0.0029853976,1.0283666,-0.001476975,0.001985449,24778.672693252563
1.0284054,0.0029853467,1.0283666,-0.001476663,0.001984591,24780.136644363403
1.0283924,0.0029855502,1.0283795,-0.001476326,0.001983773,24781.595167398453
1.0284054,0.0029853467,1.0283795,-0.001476144,0.001982863,24783.053069353104
1.0283279,0.0029852959,1.0283279,-0.001475858,0.001982681,24784.49282002449
1.0283666,0.0029855502,1.0283537,-0.001475832,0.001981395,24785.94972038269
1.0283408,0.002985423,1.0283537,-0.001475871,0.00198068,24787.402688980103
1.0283279,0.0029851687,1.0283279,-0.00147552,0.001979238,24788.8814766407
1.0283408,0.0029852959,1.0283537,-0.00147578,0.00197851,24790.357428073883
1.0283795,0.0029854739,1.0283408,-0.001475559,0.001977224,24791.815808057785
1.0283408,0.0029854739,1.0283666,-0.001475624,0.001977003,24793.268696308136
1.0284183,0.0029853976,1.0283537,-0.001475663,0.001975431,24794.701741933823
1.0284054,0.0029854739,1.0283795,-0.001474922,0.001974625,24796.149894952774
1.0283279,0.0029855757,1.0283666,-0.001475104,0.001973599,24797.61682343483
1.0283666,0.0029853722,1.0284312,-0.001475104,0.001971961,24799.078474760056
1.0283279,0.0029852959,1.0283666,-0.001475676,0.001970493,24800.533370018005
1.0283537,0.0029853976,1.0283537,-0.001475208,0.001969467,24801.971463680267
1.0283408,0.0029851687,1.0283279,-0.001475533,0.00196818,24803.425354719162
1.0283795,0.0029855502,1.0284054,-0.001475039,0.001967414,24804.890507936478
