Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
1.3e-07,7.63e-08,-2.6e-07,-5.2e-07,-5.59e-07,1.849304437637329,"03 04 2019, 12_32_22"
-6.5e-07,-1.017e-07,-1.3e-07,-6.5e-08,-1.82e-07,3.616487503051758,"03 04 2019, 12_32_24"
-3.9e-07,-1.272e-07,-7.8e-07,-2.99e-07,-5.2e-08,5.383870601654053,"03 04 2019, 12_32_26"
-2.6e-07,7.63e-08,3.9e-07,-4.16e-07,-4.81e-07,7.1542298793792725,"03 04 2019, 12_32_28"
-3.9e-07,7.63e-08,2.6e-07,-6.63e-07,1.17e-07,8.920852184295654,"03 04 2019, 12_32_29"
-3.9e-07,-5.09e-08,1.3e-07,-4.81e-07,-5.59e-07,10.687829971313477,"03 04 2019, 12_32_31"
-6.5e-07,-7.63e-08,-5.2e-07,5.2e-08,1.69e-07,12.457067489624023,"03 04 2019, 12_32_33"
-9.1e-07,-7.63e-08,-7.8e-07,-1.56e-07,-4.29e-07,14.22358775138855,"03 04 2019, 12_32_35"
-1.04e-06,-5.09e-08,-2.6e-07,-2.34e-07,2.6e-08,15.994408369064331,"03 04 2019, 12_32_36"
-9.1e-07,1.272e-07,-1.04e-06,-6.11e-07,-3.64e-07,17.764236450195312,"03 04 2019, 12_32_38"
-3.9e-07,-2.54e-08,-1.3e-07,-1.17e-07,-2.6e-07,19.53322744369507,"03 04 2019, 12_32_40"
-6.5e-07,0.0,-3.9e-07,1.82e-07,-4.81e-07,21.299112796783447,"03 04 2019, 12_32_42"
-1.169e-06,2.54e-08,1.3e-07,2.73e-07,-6.37e-07,23.06473970413208,"03 04 2019, 12_32_44"
-2.6e-07,-7.63e-08,-6.5e-07,-1.17e-07,-3.9e-08,24.83267593383789,"03 04 2019, 12_32_45"
