Time,TEG1,TEG2,Current,Supply_voltage,Cell_voltage,Time_stamp
1.5531551837921143,2.2574e-05,6.743e-06,0.0,3.4074389,3.4074644,"03 05 2019, 16_52_51"
3.0183017253875732,2.3097e-05,6.31e-06,7.47e-08,3.4074389,3.4074644,"03 05 2019, 16_52_52"
4.484448432922363,2.2549e-05,5.927e-06,-2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_52_54"
5.949594736099243,2.2638e-05,6.603e-06,0.0,3.4074516,3.4074516,"03 05 2019, 16_52_55"
7.424742221832275,2.2421e-05,6.246e-06,-4.98e-08,3.4074644,3.4074516,"03 05 2019, 16_52_57"
8.900890111923218,2.2179e-05,6.437e-06,4.98e-08,3.4074389,3.4074516,"03 05 2019, 16_52_58"
10.380037784576416,2.316e-05,6.093e-06,-2.49e-08,3.4074389,3.4074516,"03 05 2019, 16_53_00"
11.862186193466187,2.3594e-05,6.284e-06,-1.742e-07,3.4074516,3.4074644,"03 05 2019, 16_53_01"
13.339333772659302,2.2804e-05,5.557e-06,-2.49e-08,3.4074771,3.4074516,"03 05 2019, 16_53_03"
14.817481517791748,2.2931e-05,6.144e-06,2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_53_04"
16.297629594802856,2.3364e-05,6.22e-06,-2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_53_06"
17.776777267456055,2.2816e-05,6.373e-06,-1.493e-07,3.4074644,3.4074644,"03 05 2019, 16_53_07"
19.252925157546997,2.2995e-05,6.564e-06,-4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_53_09"
20.730072736740112,2.3288e-05,6.271e-06,7.47e-08,3.4074644,3.4074516,"03 05 2019, 16_53_10"
22.20822048187256,2.2969e-05,6.488e-06,-2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_53_12"
23.686368465423584,2.2804e-05,6.475e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_53_13"
25.1635160446167,2.2829e-05,6.603e-06,7.47e-08,3.4074516,3.4074389,"03 05 2019, 16_53_15"
26.640663623809814,2.2804e-05,6.743e-06,-4.98e-08,3.4074516,3.4074644,"03 05 2019, 16_53_16"
28.124812126159668,2.2651e-05,6.564e-06,9.95e-08,3.4074389,3.4074389,"03 05 2019, 16_53_18"
29.60095977783203,2.2753e-05,6.539e-06,-2.49e-08,3.4074516,3.4074644,"03 05 2019, 16_53_19"
31.084108114242554,2.2459e-05,6.526e-06,-1.493e-07,3.4074516,3.4074389,"03 05 2019, 16_53_21"
32.56025552749634,2.2357e-05,6.59e-06,2.49e-08,3.4074389,3.4074516,"03 05 2019, 16_53_22"
34.05240488052368,2.2459e-05,6.31e-06,4.98e-08,3.4074516,3.4074644,"03 05 2019, 16_53_24"
35.5245521068573,2.2638e-05,6.424e-06,-2.49e-08,3.4074516,3.4074644,"03 05 2019, 16_53_25"
36.98969864845276,2.1835e-05,6.361e-06,1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_53_26"
38.4568452835083,2.2153e-05,6.654e-06,0.0,3.4074516,3.4074644,"03 05 2019, 16_53_28"
39.925992012023926,2.2306e-05,6.45e-06,7.47e-08,3.4074644,3.4074516,"03 05 2019, 16_53_29"
41.39413905143738,2.1682e-05,6.361e-06,7.47e-08,3.4074516,3.4074389,"03 05 2019, 16_53_31"
42.85528516769409,2.2141e-05,6.539e-06,-7.47e-08,3.4074644,3.4074516,"03 05 2019, 16_53_32"
44.33243274688721,2.1899e-05,6.208e-06,-7.47e-08,3.4074644,3.4074644,"03 05 2019, 16_53_34"
45.812580823898315,2.2396e-05,6.233e-06,9.95e-08,3.4074516,3.4074516,"03 05 2019, 16_53_35"
47.293728828430176,2.2e-05,6.462e-06,0.0,3.4074389,3.4074516,"03 05 2019, 16_53_37"
48.7718768119812,2.2064e-05,6.004e-06,0.0,3.4074644,3.4074516,"03 05 2019, 16_53_38"
50.249024391174316,2.1886e-05,6.208e-06,-4.98e-08,3.4074389,3.4074516,"03 05 2019, 16_53_40"
51.72717213630676,2.1491e-05,6.666e-06,7.47e-08,3.4074389,3.4074644,"03 05 2019, 16_53_41"
53.20732021331787,2.1937e-05,6.399e-06,-1.991e-07,3.4074644,3.4074644,"03 05 2019, 16_53_43"
54.684467792510986,2.2039e-05,6.475e-06,-9.95e-08,3.4074516,3.4074644,"03 05 2019, 16_53_44"
56.16161561012268,2.2255e-05,6.679e-06,1.991e-07,3.4074516,3.4074516,"03 05 2019, 16_53_46"
57.637763261795044,2.2141e-05,6.373e-06,0.0,3.4074644,3.4074516,"03 05 2019, 16_53_47"
59.11691093444824,2.2153e-05,6.373e-06,-7.47e-08,3.4074262,3.4074389,"03 05 2019, 16_53_49"
60.59505891799927,2.2039e-05,6.029e-06,-7.47e-08,3.4074516,3.4074389,"03 05 2019, 16_53_50"
62.06920623779297,2.223e-05,6.577e-06,9.95e-08,3.4074644,3.4074516,"03 05 2019, 16_53_52"
63.54635405540466,2.2051e-05,6.157e-06,0.0,3.4074516,3.4074516,"03 05 2019, 16_53_53"
65.02650213241577,2.186e-05,6.513e-06,1.742e-07,3.4074516,3.4074389,"03 05 2019, 16_53_54"
66.50765013694763,2.2192e-05,6.335e-06,-4.98e-08,3.4074644,3.4074516,"03 05 2019, 16_53_56"
67.98279762268066,2.144e-05,5.914e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_53_57"
69.46294569969177,2.209e-05,6.475e-06,-7.47e-08,3.4074644,3.4074389,"03 05 2019, 16_53_59"
70.9430935382843,2.1873e-05,5.978e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_00"
72.42124152183533,2.1848e-05,6.475e-06,4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_54_02"
73.90038919448853,2.2013e-05,6.208e-06,0.0,3.4074516,3.4074644,"03 05 2019, 16_54_03"
75.37653708457947,2.172e-05,6.322e-06,4.98e-08,3.4074516,3.4074389,"03 05 2019, 16_54_05"
76.85468482971191,2.1682e-05,6.335e-06,2.49e-08,3.4074516,3.4074644,"03 05 2019, 16_54_06"
78.3308322429657,2.1401e-05,6.042e-06,2.49e-08,3.4074644,3.4074644,"03 05 2019, 16_54_08"
79.80697989463806,2.2243e-05,6.284e-06,0.0,3.4074389,3.4074644,"03 05 2019, 16_54_09"
81.28312754631042,2.1886e-05,5.774e-06,-1.244e-07,3.4074644,3.4074516,"03 05 2019, 16_54_11"
82.76027512550354,2.2115e-05,5.825e-06,-9.95e-08,3.4074389,3.4074516,"03 05 2019, 16_54_12"
84.2364227771759,2.1682e-05,6.271e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_14"
85.71557068824768,2.1873e-05,6.259e-06,-4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_54_15"
87.19771885871887,2.1924e-05,5.978e-06,-1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_54_17"
88.68986821174622,2.1401e-05,6.501e-06,7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_18"
90.15901494026184,2.1733e-05,5.8e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_20"
91.62316155433655,2.2013e-05,5.672e-06,-7.47e-08,3.4074644,3.4074644,"03 05 2019, 16_54_21"
93.09030795097351,2.1478e-05,6.118e-06,0.0,3.4074389,3.4074516,"03 05 2019, 16_54_23"
94.55445432662964,2.2e-05,5.812e-06,-2.49e-08,3.4074262,3.4074516,"03 05 2019, 16_54_24"
96.02160120010376,2.1771e-05,6.169e-06,-1.742e-07,3.4074516,3.4074516,"03 05 2019, 16_54_25"
97.48474740982056,2.1695e-05,5.774e-06,9.95e-08,3.4074516,3.4074516,"03 05 2019, 16_54_27"
98.95389437675476,2.172e-05,5.851e-06,-9.95e-08,3.4074644,3.4074516,"03 05 2019, 16_54_28"
100.42204117774963,2.1669e-05,5.557e-06,-9.95e-08,3.4074516,3.4074516,"03 05 2019, 16_54_30"
101.90018916130066,2.1465e-05,5.863e-06,1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_54_31"
103.36633563041687,2.1529e-05,6.055e-06,4.98e-08,3.4074516,3.4074644,"03 05 2019, 16_54_33"
104.83748269081116,2.1503e-05,5.812e-06,-2.49e-08,3.4074771,3.4074389,"03 05 2019, 16_54_34"
106.30362915992737,2.1771e-05,5.736e-06,-2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_54_36"
107.77177619934082,2.1707e-05,5.953e-06,-2.49e-08,3.4074516,3.4074644,"03 05 2019, 16_54_37"
109.2369225025177,2.1937e-05,5.863e-06,4.98e-08,3.4074644,3.4074516,"03 05 2019, 16_54_39"
110.70706963539124,2.1962e-05,6.361e-06,-1.493e-07,3.4074644,3.4074516,"03 05 2019, 16_54_40"
112.1722161769867,2.1835e-05,5.927e-06,-1.493e-07,3.4074389,3.4074516,"03 05 2019, 16_54_42"
113.65036368370056,2.1975e-05,5.889e-06,-4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_54_43"
115.12951183319092,2.2255e-05,5.851e-06,-2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_54_45"
116.60465931892395,2.1899e-05,5.902e-06,-2.49e-08,3.4074516,3.4074644,"03 05 2019, 16_54_46"
118.08280730247498,2.2434e-05,6.259e-06,7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_48"
119.55695462226868,2.2141e-05,5.647e-06,2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_54_49"
121.03510236740112,2.2064e-05,6.144e-06,-2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_54_51"
122.51224994659424,2.2485e-05,6.157e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_54_52"
123.99139785766602,2.2612e-05,5.723e-06,-7.47e-08,3.4074516,3.4074644,"03 05 2019, 16_54_53"
125.46754550933838,2.2192e-05,6.259e-06,0.0,3.4074516,3.4074516,"03 05 2019, 16_54_55"
126.9446930885315,2.2447e-05,6.603e-06,1.244e-07,3.4074389,3.4074262,"03 05 2019, 16_54_56"
128.42084074020386,2.2204e-05,6.233e-06,4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_54_58"
129.89898872375488,2.2638e-05,5.494e-06,-9.95e-08,3.4074389,3.4074516,"03 05 2019, 16_54_59"
131.38813757896423,2.2905e-05,5.863e-06,-4.98e-08,3.4074644,3.4074516,"03 05 2019, 16_55_01"
132.8562843799591,2.2204e-05,5.953e-06,-1.742e-07,3.4074389,3.4074644,"03 05 2019, 16_55_02"
134.32243084907532,2.2459e-05,6.603e-06,-1.244e-07,3.4074516,3.4074389,"03 05 2019, 16_55_04"
135.78957772254944,2.2077e-05,6.246e-06,-1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_55_05"
137.25472402572632,2.2204e-05,6.603e-06,7.47e-08,3.4074644,3.4074389,"03 05 2019, 16_55_07"
138.7228708267212,2.2498e-05,6.055e-06,-9.95e-08,3.4074516,3.4074516,"03 05 2019, 16_55_08"
140.18901753425598,2.1937e-05,6.067e-06,1.493e-07,3.4074516,3.4074516,"03 05 2019, 16_55_10"
141.6551640033722,2.1822e-05,6.106e-06,9.95e-08,3.4074771,3.4074389,"03 05 2019, 16_55_11"
143.12831139564514,2.1949e-05,6.322e-06,9.95e-08,3.4074389,3.4074644,"03 05 2019, 16_55_13"
144.59645819664001,2.2013e-05,6.603e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_55_14"
146.06760549545288,2.2077e-05,6.526e-06,-2.49e-08,3.4074389,3.4074389,"03 05 2019, 16_55_16"
147.53475189208984,2.1784e-05,6.552e-06,-2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_55_17"
149.00089859962463,2.1733e-05,6.692e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_55_18"
150.47004556655884,2.1542e-05,6.666e-06,4.98e-08,3.4074389,3.4074516,"03 05 2019, 16_55_20"
151.93919253349304,2.1733e-05,6.73e-06,2.49e-08,3.4074262,3.4074389,"03 05 2019, 16_55_21"
153.40433883666992,2.1338e-05,6.424e-06,-9.95e-08,3.4074516,3.4074771,"03 05 2019, 16_55_23"
154.87048530578613,2.1809e-05,6.666e-06,-2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_55_24"
156.33763217926025,2.1389e-05,6.603e-06,-7.47e-08,3.4074516,3.4074516,"03 05 2019, 16_55_26"
157.80377864837646,2.1134e-05,6.259e-06,-4.98e-08,3.4074516,3.4074516,"03 05 2019, 16_55_27"
159.27392578125,2.0968e-05,6.373e-06,-1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_55_29"
160.73907232284546,2.0955e-05,6.858e-06,4.98e-08,3.4074644,3.4074771,"03 05 2019, 16_55_30"
162.20521903038025,2.0688e-05,6.322e-06,0.0,3.4074516,3.4074516,"03 05 2019, 16_55_32"
163.6723656654358,2.0981e-05,6.526e-06,-2.24e-07,3.4074516,3.4074389,"03 05 2019, 16_55_33"
165.14051246643066,2.0343e-05,6.131e-06,4.98e-08,3.4074644,3.4074516,"03 05 2019, 16_55_35"
166.60565876960754,2.0025e-05,6.361e-06,2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_55_36"
168.070805311203,2.0726e-05,6.641e-06,-2.49e-08,3.4074262,3.4074262,"03 05 2019, 16_55_38"
169.5399522781372,2.0382e-05,6.654e-06,1.244e-07,3.4074516,3.4074516,"03 05 2019, 16_55_39"
171.00609874725342,2.0382e-05,6.322e-06,-2.49e-08,3.4074644,3.4074516,"03 05 2019, 16_55_40"
172.47324562072754,2.019e-05,6.284e-06,2.49e-08,3.4074516,3.4074516,"03 05 2019, 16_55_42"
