Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
0.49392962,0.0014339019,0.49392442,-0.001855473,0.001831732,16694.67788696289
0.49392182,0.0014336984,0.49386468,-0.001855292,0.001830744,16696.277233362198
0.49389585,0.0014336221,0.49387507,-0.001855149,0.001829926,16697.901729106903
0.49393741,0.0014337238,0.49391533,-0.001854447,0.001828743,16699.497864961624
0.49393351,0.0014339782,0.49392442,-0.00185472,0.001827665,16701.09812092781
0.49397767,0.0014337747,0.49391143,-0.001854226,0.001826677,16702.704526424408
0.49387117,0.0014339782,0.4939478,-0.00185433,0.00182556,16704.308830976486
0.49391143,0.001433851,0.49391143,-0.001853953,0.001825053,16705.895919561386
0.49388676,0.0014338256,0.49393871,-0.001853537,0.001824039,16707.49963951111
0.49395949,0.0014339528,0.49392572,-0.001853109,0.001822909,16709.10958456993
0.49389065,0.0014336221,0.49393611,-0.0018532,0.001821947,16710.753005743027
0.49387247,0.0014335967,0.49389845,-0.00185368,0.001821207,16712.357420921326
0.49390754,0.0014337747,0.49393092,-0.001853096,0.001820128,16713.963336229324
0.49389325,0.0014339019,0.49392312,-0.00185342,0.001819595,16715.559131383896
0.49388805,0.0014337747,0.49387766,-0.001852914,0.001818842,16717.152509450912
0.49389065,0.0014337238,0.49393221,-0.001852706,0.001818153,16718.74570941925
0.49392442,0.0014338001,0.4939478,-0.001852784,0.00181727,16720.346064567566
0.49388935,0.0014338256,0.49391533,-0.001852511,0.001816646,16721.94256877899
0.49390754,0.0014337493,0.49392312,-0.001852355,0.001816217,16723.56503033638
0.49392572,0.0014337747,0.4939517,-0.001852186,0.001816191,16725.149895191193
0.49392962,0.0014339273,0.49387247,-0.001852394,0.001815411,16726.742405653
0.49382052,0.001433673,0.49383351,-0.001851601,0.001815827,16728.35465335846
0.49388416,0.0014336984,0.49389715,-0.001851848,0.001815398,16729.94146156311
0.49390104,0.0014336475,0.49390624,-0.001852186,0.001815866,16731.55735564232
0.49381792,0.0014335967,0.49385299,-0.001851666,0.00181597,16733.165704488754
0.49389065,0.0014335458,0.49386598,-0.001851302,0.001816113,16734.768111228943
0.49387637,0.0014338256,0.49387637,-0.001851523,0.001816789,16736.386736869812
0.49392052,0.0014336475,0.49392572,-0.001850835,0.001817179,16737.98349428177
