Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-3.9e-07,-7.0713e-06,-0.002456364,-2.2232e-05,0.000229407,1.7876005172729492,"03 04 2019, 17_48_19"
-1.3e-07,-7.2494e-06,-0.002502622,-2.1921e-05,0.000229485,3.498399257659912,"03 04 2019, 17_48_20"
-7.8e-07,-7.0459e-06,-0.002490018,-2.244e-05,0.00022977,5.207291126251221,"03 04 2019, 17_48_22"
-5.2e-07,-7.0968e-06,-0.002510288,-2.2388e-05,0.000229563,6.918276786804199,"03 04 2019, 17_48_24"
-7.8e-07,-7.3257e-06,-0.002546411,-2.2544e-05,0.000229004,8.631227970123291,"03 04 2019, 17_48_26"
-2.6e-07,-7.1731e-06,-0.002514186,-2.2336e-05,0.000229121,10.3433837890625,"03 04 2019, 17_48_27"
-6.5e-07,-7.0968e-06,-0.002488458,-2.2388e-05,0.000229069,12.050966024398804,"03 04 2019, 17_48_29"
-5.2e-07,-7.1731e-06,-0.002505221,-2.2505e-05,0.000228718,13.763797283172607,"03 04 2019, 17_48_31"
1.3e-07,-7.0459e-06,-0.002447008,-2.244e-05,0.000229251,15.475396633148193,"03 04 2019, 17_48_32"
-1.299e-06,-7.0713e-06,-0.002540304,-2.257e-05,0.000228614,17.185991048812866,"03 04 2019, 17_48_34"
-1.299e-06,-7.0459e-06,-0.002465199,-2.2856e-05,0.00022877,18.898173570632935,"03 04 2019, 17_48_36"
-1.3e-07,-7.2748e-06,-0.002503791,-2.2817e-05,0.000228315,20.607759714126587,"03 04 2019, 17_48_38"
-6.5e-07,-6.995e-06,-0.002486379,-2.3194e-05,0.000228731,22.319138765335083,"03 04 2019, 17_48_39"
-1.3e-07,-6.9441e-06,-0.002482091,-2.3038e-05,0.000229173,24.03195858001709,"03 04 2019, 17_48_41"
-1.169e-06,-6.9696e-06,-0.00248508,-2.2986e-05,0.000228458,25.740166902542114,"03 04 2019, 17_48_43"
-3.9e-07,-7.2239e-06,-0.002503142,-2.2674e-05,0.000228276,27.448682069778442,"03 04 2019, 17_48_44"
1.3e-07,-7.3002e-06,-0.002457143,-2.3051e-05,0.000228614,29.160985231399536,"03 04 2019, 17_48_46"
-1.299e-06,-7.3002e-06,-0.002487549,-2.2661e-05,0.000227756,30.873361349105835,"03 04 2019, 17_48_48"
-2.6e-07,-7.2748e-06,-0.002517175,-2.2999e-05,0.000227704,32.58264756202698,"03 04 2019, 17_48_50"
-3.9e-07,-7.1222e-06,-0.002489888,-2.2869e-05,0.000227587,34.29035449028015,"03 04 2019, 17_48_51"
-5.2e-07,-7.2494e-06,-0.002537965,-2.2778e-05,0.000227536,36.003154039382935,"03 04 2019, 17_48_53"
-6.5e-07,-7.1985e-06,-0.002433364,-2.3116e-05,0.00022738,37.720314741134644,"03 04 2019, 17_48_55"
-3.9e-07,-7.3002e-06,-0.002531468,-2.2986e-05,0.00022738,39.430922508239746,"03 04 2019, 17_48_56"
-3.9e-07,-7.1985e-06,-0.002531858,-2.3675e-05,0.000227808,41.14229440689087,"03 04 2019, 17_48_58"
-7.8e-07,-7.0204e-06,-0.002521333,-2.3311e-05,0.000227354,42.85847735404968,"03 04 2019, 17_49_00"
0.0,-6.9441e-06,-0.002493266,-2.335e-05,0.000227146,44.56875443458557,"03 04 2019, 17_49_02"
-2.6e-07,-7.1731e-06,-0.0024639,-2.3077e-05,0.000227185,46.28407001495361,"03 04 2019, 17_49_03"
-1.3e-07,-7.1476e-06,-0.002458573,-2.3337e-05,0.000227042,47.99486541748047,"03 04 2019, 17_49_05"
-2.6e-07,-7.0459e-06,-0.002454285,-2.3129e-05,0.000227587,49.706310749053955,"03 04 2019, 17_49_07"
-3.9e-07,-7.2239e-06,-0.002487549,-2.3363e-05,0.000227328,51.42005634307861,"03 04 2019, 17_49_08"
-2.6e-07,-7.2748e-06,-0.002512367,-2.3233e-05,0.00022673,53.12603783607483,"03 04 2019, 17_49_10"
